episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,policy_reward_min/shared_policy,policy_reward_max/shared_policy,policy_reward_mean/shared_policy,custom_metrics/raw_reward_mean,custom_metrics/raw_reward_min,custom_metrics/raw_reward_max,custom_metrics/normalized_raw_reward_mean,custom_metrics/normalized_raw_reward_min,custom_metrics/normalized_raw_reward_max,custom_metrics/auxiliary_reward_coverage_rate_mean,custom_metrics/auxiliary_reward_coverage_rate_min,custom_metrics/auxiliary_reward_coverage_rate_max,custom_metrics/reward_coefficient_coverage_rate_mean,custom_metrics/reward_coefficient_coverage_rate_min,custom_metrics/reward_coefficient_coverage_rate_max,custom_metrics/coverage_rate_mean,custom_metrics/coverage_rate_min,custom_metrics/coverage_rate_max,custom_metrics/real_coverage_rate_mean,custom_metrics/real_coverage_rate_min,custom_metrics/real_coverage_rate_max,custom_metrics/mean_transport_rate_mean,custom_metrics/mean_transport_rate_min,custom_metrics/mean_transport_rate_max,custom_metrics/num_delivered_cargoes_mean,custom_metrics/num_delivered_cargoes_min,custom_metrics/num_delivered_cargoes_max,custom_metrics/num_selected_targets_mean,custom_metrics/num_selected_targets_min,custom_metrics/num_selected_targets_max,custom_metrics/num_valid_selected_targets_mean,custom_metrics/num_valid_selected_targets_min,custom_metrics/num_valid_selected_targets_max,custom_metrics/num_invalid_selected_targets_mean,custom_metrics/num_invalid_selected_targets_min,custom_metrics/num_invalid_selected_targets_max,custom_metrics/invalid_target_selection_rate_mean,custom_metrics/invalid_target_selection_rate_min,custom_metrics/invalid_target_selection_rate_max,custom_metrics/episode_raw_reward_mean,custom_metrics/episode_raw_reward_min,custom_metrics/episode_raw_reward_max,custom_metrics/episode_normalized_raw_reward_mean,custom_metrics/episode_normalized_raw_reward_min,custom_metrics/episode_normalized_raw_reward_max,hist_stats/episode_reward,hist_stats/episode_lengths,hist_stats/policy_shared_policy_reward,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_steps_trained_this_iter,info/num_agent_steps_trained,info/last_target_update_ts,info/num_target_updates,perf/cpu_util_percent,perf/ram_util_percent,info/learner/shared_policy/td_error,info/learner/shared_policy/mean_td_error,info/learner/shared_policy/learner_stats/mean_q,info/learner/shared_policy/learner_stats/min_q,info/learner/shared_policy/learner_stats/max_q,info/learner/shared_policy/learner_stats/cur_lr
2691.2000000000066,1668.7999999999993,2115.933333333334,258.75,12,3,5124,1024,20496,False,12,1,00101_00000,92969354e32c4142ab00340b2d8efae3,2026-03-21_20-52-01,1774101121,40.702576875686646,40.702576875686646,36950,ASUS-PAVT,172.27.211.168,40.702576875686646,1024,1,14.628371953964233,417.20000000000005,672.7999999999995,528.9833333333332,-17.01689837346969,-21.41592920353982,-12.493589743589743,-0.002127112296683711,-0.002676991150442478,-0.0015616987179487177,2.04219330713004,1.7509293680297395,2.3524475524475528,1.0,1.0,1.0,0.4090612228880401,0.3507806691449814,0.4716083916083916,0.39506298469226303,0.3434448574969021,0.43682230869001304,0.5411041666666667,0.4825,0.605,40.0,40.0,40.0,2.565440668827472,2.5045871559633026,2.6512237762237763,0.37295655535221445,0.31022304832713754,0.459965034965035,2.1924841134752566,2.0876146788990826,2.2669144981412637,0.8270792375422801,0.7993356643356643,0.8555111524163569,-4328.833333333333,-4840.0,-3860.0,-0.5411041666666666,-0.605,-0.48249999999999993,"[1996.7999999999972, 1868.8000000000009, 1883.9999999999966, 2691.2000000000066, 1939.1999999999998, 1668.7999999999993, 2205.599999999996, 2433.600000000002, 1817.6000000000001, 2055.200000000001, 2224.000000000004, 2606.4000000000024]","[250, 254, 269, 286, 218, 226, 268, 299, 230, 236, 257, 312]","[499.20000000000016, 499.20000000000016, 499.20000000000016, 499.20000000000016, 467.19999999999993, 467.19999999999993, 467.19999999999993, 467.19999999999993, 471.0000000000002, 471.0000000000002, 471.0000000000002, 471.0000000000002, 672.7999999999995, 672.7999999999995, 672.7999999999995, 672.7999999999995, 484.79999999999995, 484.79999999999995, 484.79999999999995, 484.79999999999995, 417.20000000000005, 417.20000000000005, 417.20000000000005, 417.20000000000005, 551.4000000000003, 551.4000000000003, 551.4000000000003, 551.4000000000003, 608.3999999999999, 608.3999999999999, 608.3999999999999, 608.3999999999999, 454.4, 454.4, 454.4, 454.4, 513.8, 513.8, 513.8, 513.8, 555.9999999999998, 555.9999999999998, 555.9999999999998, 555.9999999999998, 651.5999999999998, 651.5999999999998, 651.5999999999998, 651.5999999999998]",4.210332658060614,3.247510235628978,0.20639565874854357,73.40497651204144,0.0,2.035,503288.956,70.699,14483.954,7.483,5124,20496,11264,1024,11264,5004,1,38.02321428571429,90.69821428571429,"[ 2.0181677   1.794883   -2.1259212  ... -0.35191822  0.6850834
  1.2524972 ]",0.7905082702636719,5.606065273284912,4.116917133331299,6.530465602874756,0.0005
2606.4000000000024,1438.399999999995,2052.383999999999,245.56,23,3,10248,1024,40992,False,35,2,00101_00000,92969354e32c4142ab00340b2d8efae3,2026-03-21_20-53-35,1774101215,93.95923709869385,134.6618139743805,36950,ASUS-PAVT,172.27.211.168,134.6618139743805,2048,2,14.628371953964233,359.6000000000003,651.5999999999998,513.096,-17.338476378816214,-23.349282296650717,-12.493589743589743,-0.0021673095473520266,-0.002918660287081339,-0.0015616987179487177,2.085114449520975,1.720574162679426,2.4456621004566212,1.0,1.0,1.0,0.4177596107058726,0.34411483253588526,0.49077625570776257,0.40983149332433766,0.33043154761904764,0.47589333333333333,0.52558,0.4555,0.61,40.0,40.0,40.0,2.5818546776365405,2.507201646090535,2.66281512605042,0.3766708077927314,0.2910714285714286,0.47384937238493724,2.205183869843809,2.1329166666666666,2.295093457943925,0.829404382884643,0.7960121765601217,0.8562311385459533,-4204.64,-4880.0,-3644.0,-0.5255799999999999,-0.6099999999999999,-0.45549999999999996,"[2224.000000000004, 2606.4000000000024, 2142.3999999999987, 2040.8000000000022, 2170.4000000000015, 2351.9999999999964, 1733.600000000001, 2417.599999999996, 1975.2000000000028, 2006.3999999999983, 2284.000000000003, 2098.3999999999983, 2503.2000000000025, 1876.7999999999952, 1438.399999999995, 1594.3999999999983, 1895.1999999999991, 1858.3999999999978, 1649.5999999999972, 1692.8000000000013, 1919.1999999999987, 2509.5999999999995, 2106.399999999999, 2063.9999999999977, 2150.3999999999955]","[257, 312, 219, 253, 259, 265, 224, 250, 254, 229, 239, 234, 286, 239, 209, 215, 233, 243, 223, 214, 238, 299, 240, 243, 262]","[555.9999999999998, 555.9999999999998, 555.9999999999998, 555.9999999999998, 651.5999999999998, 651.5999999999998, 651.5999999999998, 651.5999999999998, 535.6, 535.6, 535.6, 535.6, 510.1999999999999, 510.1999999999999, 510.1999999999999, 510.1999999999999, 542.5999999999999, 542.5999999999999, 542.5999999999999, 542.5999999999999, 588.0000000000002, 588.0000000000002, 588.0000000000002, 588.0000000000002, 433.3999999999999, 433.3999999999999, 433.3999999999999, 433.3999999999999, 604.4000000000003, 604.4000000000003, 604.4000000000003, 604.4000000000003, 493.79999999999984, 493.79999999999984, 493.79999999999984, 493.79999999999984, 501.60000000000014, 501.60000000000014, 501.60000000000014, 501.60000000000014, 570.9999999999998, 570.9999999999998, 570.9999999999998, 570.9999999999998, 524.6, 524.6, 524.6, 524.6, 625.7999999999998, 625.7999999999998, 625.7999999999998, 625.7999999999998, 469.20000000000033, 469.20000000000033, 469.20000000000033, 469.20000000000033, 359.6000000000003, 359.6000000000003, 359.6000000000003, 359.6000000000003, 398.60000000000014, 398.60000000000014, 398.60000000000014, 398.60000000000014, 473.80000000000007, 473.80000000000007, 473.80000000000007, 473.80000000000007, 464.60000000000014, 464.60000000000014, 464.60000000000014, 464.60000000000014, 412.4000000000002, 412.4000000000002, 412.4000000000002, 412.4000000000002, 423.1999999999999, 423.1999999999999, 423.1999999999999, 423.1999999999999, 479.80000000000007, 479.80000000000007, 479.80000000000007, 479.80000000000007, 627.4, 627.4, 627.4, 627.4, 526.6, 526.6, 526.6, 526.6, 516.0000000000001, 516.0000000000001, 516.0000000000001, 516.0000000000001, 537.6000000000004, 537.6000000000004, 537.6000000000004, 537.6000000000004]",4.3209763923720494,3.2623275356122803,0.20894894326535213,73.94521423375704,0.0,1.892,541173.239,68.545,14939.063,5.77,10248,40992,448512,1024,448512,10044,11,27.604615384615386,90.76076923076924,"[ 1.2879028   1.6370697  -0.11824989 ...  1.089508    0.8382759
  0.31388855]",0.6461836099624634,22.076234817504883,21.940597534179688,22.187366485595703,0.0005
2678.400000000004,1724.799999999998,2166.207999999999,243.6,23,3,15372,1024,61488,False,58,3,00101_00000,92969354e32c4142ab00340b2d8efae3,2026-03-21_20-55-11,1774101311,95.53139138221741,230.1932053565979,36950,ASUS-PAVT,172.27.211.168,230.1932053565979,3072,3,14.628371953964233,431.20000000000016,669.5999999999997,541.5520000000001,-16.514977544211742,-20.532019704433498,-12.465116279069768,-0.0020643721930264677,-0.0025665024630541866,-0.0015581395348837207,2.2241340514651213,1.940229885057471,2.6195918367346938,1.0,1.0,1.0,0.4454878548028344,0.38804597701149424,0.5256326530612244,0.42965578577648145,0.3483397190293742,0.477568306010929,0.49973999999999996,0.402,0.5745,40.0,40.0,40.0,2.7272924278349087,2.566793893129771,2.8587443946188342,0.434945428952754,0.3434865900383142,0.564922480620155,2.292346998882154,2.173185483870968,2.428225806451613,0.8184255984271215,0.7785026041666666,0.8443933588761174,-3997.92,-4596.0,-3216.0,-0.4997399999999999,-0.5744999999999999,-0.4019999999999999,"[2063.9999999999977, 2150.3999999999955, 1898.3999999999967, 2171.1999999999975, 1880.0000000000018, 1968.7999999999993, 2219.9999999999995, 1861.6000000000004, 2678.400000000004, 1975.1999999999935, 2537.5999999999995, 2149.599999999996, 1724.799999999998, 2567.200000000002, 2088.000000000001, 1991.2000000000019, 2467.199999999998, 2025.5999999999913, 2459.2000000000007, 2284.8000000000065, 2424.7999999999975, 2063.999999999994, 2199.200000000001, 2222.4000000000033, 2081.6]","[243, 262, 224, 232, 220, 250, 244, 229, 258, 242, 248, 238, 203, 245, 248, 231, 274, 261, 256, 257, 289, 225, 223, 265, 223]","[516.0000000000001, 516.0000000000001, 516.0000000000001, 516.0000000000001, 537.6000000000004, 537.6000000000004, 537.6000000000004, 537.6000000000004, 474.6000000000002, 474.6000000000002, 474.6000000000002, 474.6000000000002, 542.8000000000002, 542.8000000000002, 542.8000000000002, 542.8000000000002, 469.9999999999999, 469.9999999999999, 469.9999999999999, 469.9999999999999, 492.20000000000005, 492.20000000000005, 492.20000000000005, 492.20000000000005, 555.0000000000001, 555.0000000000001, 555.0000000000001, 555.0000000000001, 465.4, 465.4, 465.4, 465.4, 669.5999999999997, 669.5999999999997, 669.5999999999997, 669.5999999999997, 493.8000000000004, 493.8000000000004, 493.8000000000004, 493.8000000000004, 634.4, 634.4, 634.4, 634.4, 537.4000000000003, 537.4000000000003, 537.4000000000003, 537.4000000000003, 431.20000000000016, 431.20000000000016, 431.20000000000016, 431.20000000000016, 641.8, 641.8, 641.8, 641.8, 521.9999999999999, 521.9999999999999, 521.9999999999999, 521.9999999999999, 497.79999999999984, 497.79999999999984, 497.79999999999984, 497.79999999999984, 616.8000000000001, 616.8000000000001, 616.8000000000001, 616.8000000000001, 506.40000000000055, 506.40000000000055, 506.40000000000055, 506.40000000000055, 614.8, 614.8, 614.8, 614.8, 571.1999999999996, 571.1999999999996, 571.1999999999996, 571.1999999999996, 606.2000000000002, 606.2000000000002, 606.2000000000002, 606.2000000000002, 516.0000000000003, 516.0000000000003, 516.0000000000003, 516.0000000000003, 549.7999999999998, 549.7999999999998, 549.7999999999998, 549.7999999999998, 555.5999999999999, 555.5999999999999, 555.5999999999999, 555.5999999999999, 520.4, 520.4, 520.4, 520.4]",4.870756124817388,3.2574863061455006,0.20922531073081516,73.67150845103802,0.0,2.083,491493.751,70.386,14548.352,6.267,15372,61488,885760,1024,885760,15084,21,27.558333333333334,90.84545454545453,"[ 1.8847885   1.0144463  -0.44976425 ... -0.19792557  1.2489319
 -0.6004524 ]",0.8820713758468628,42.83275604248047,42.08821105957031,43.643924713134766,0.0005
2985.5999999999967,2025.5999999999913,2376.16,252.4,17,3,20496,1024,81984,False,75,4,00101_00000,92969354e32c4142ab00340b2d8efae3,2026-03-21_20-56-46,1774101406,95.01532244682312,325.208527803421,36950,ASUS-PAVT,172.27.211.168,325.208527803421,4096,4,14.628371953964233,506.40000000000055,746.4000000000002,594.04,-15.296156625184281,-18.32,-10.893333333333333,-0.0019120195781480345,-0.00229,-0.0013616666666666666,2.356109150078016,1.940229885057471,2.79,1.0,1.0,1.0,0.47184707530463454,0.38804597701149424,0.558,0.4499303006721206,0.3483397190293742,0.5269498069498069,0.47909999999999997,0.4085,0.5565,40.0,40.0,40.0,2.908647362200722,2.5814176245210727,3.074418604651163,0.4881731758621602,0.3434865900383142,0.5726415094339623,2.420474186338561,2.175,2.558480392156863,0.8137802529327951,0.7785026041666666,0.8443933588761174,-3832.8,-4452.0,-3268.0,-0.47909999999999997,-0.5565,-0.4085,"[2025.5999999999913, 2459.2000000000007, 2284.8000000000065, 2424.7999999999975, 2063.999999999994, 2199.200000000001, 2222.4000000000033, 2081.6, 2291.999999999999, 2358.3999999999996, 2248.000000000001, 2985.5999999999967, 2469.6000000000017, 2363.200000000001, 2026.3999999999967, 2510.3999999999996, 2572.7999999999975, 2546.3999999999996, 2191.999999999997, 2187.2, 2364.8000000000056, 2678.4000000000024, 2790.3999999999987, 2796.0000000000036, 2260.8000000000006]","[261, 256, 257, 289, 225, 223, 265, 223, 256, 244, 254, 300, 250, 255, 216, 270, 259, 265, 215, 246, 246, 240, 280, 277, 238]","[506.40000000000055, 506.40000000000055, 506.40000000000055, 506.40000000000055, 614.8, 614.8, 614.8, 614.8, 571.1999999999996, 571.1999999999996, 571.1999999999996, 571.1999999999996, 606.2000000000002, 606.2000000000002, 606.2000000000002, 606.2000000000002, 516.0000000000003, 516.0000000000003, 516.0000000000003, 516.0000000000003, 549.7999999999998, 549.7999999999998, 549.7999999999998, 549.7999999999998, 555.5999999999999, 555.5999999999999, 555.5999999999999, 555.5999999999999, 520.4, 520.4, 520.4, 520.4, 573.0000000000001, 573.0000000000001, 573.0000000000001, 573.0000000000001, 589.6, 589.6, 589.6, 589.6, 561.9999999999999, 561.9999999999999, 561.9999999999999, 561.9999999999999, 746.4000000000002, 746.4000000000002, 746.4000000000002, 746.4000000000002, 617.3999999999999, 617.3999999999999, 617.3999999999999, 617.3999999999999, 590.7999999999998, 590.7999999999998, 590.7999999999998, 590.7999999999998, 506.6000000000002, 506.6000000000002, 506.6000000000002, 506.6000000000002, 627.6, 627.6, 627.6, 627.6, 643.2000000000002, 643.2000000000002, 643.2000000000002, 643.2000000000002, 636.6, 636.6, 636.6, 636.6, 548.0000000000002, 548.0000000000002, 548.0000000000002, 548.0000000000002, 546.8000000000001, 546.8000000000001, 546.8000000000001, 546.8000000000001, 591.1999999999997, 591.1999999999997, 591.1999999999997, 591.1999999999997, 669.5999999999999, 669.5999999999999, 669.5999999999999, 669.5999999999999, 697.6, 697.6, 697.6, 697.6, 698.9999999999998, 698.9999999999998, 698.9999999999998, 698.9999999999998, 565.1999999999999, 565.1999999999999, 565.1999999999999, 565.1999999999999]",4.876749306056503,3.2328300841867206,0.20809551759850367,73.26168834359969,0.0,2.077,493051.004,69.131,14812.531,5.891,20496,81984,1323008,1024,1323008,20124,31,27.580152671755727,90.68244274809162,[-1.7760925 -1.4794235 -2.2034607 ... -2.1135674 -2.2423553 61.738045 ],2.617821455001831,64.80329895019531,62.938236236572266,69.68359375,0.0005
3316.7999999999965,2122.4000000000005,2644.3520000000003,253.88,20,3,25620,1024,102480,False,95,5,00101_00000,92969354e32c4142ab00340b2d8efae3,2026-03-21_20-58-22,1774101502,96.26024889945984,421.46877670288086,36950,ASUS-PAVT,172.27.211.168,421.46877670288086,5120,5,14.628371953964233,530.6,829.2000000000003,661.0880000000001,-13.632804386768191,-17.473251028806583,-9.333333333333334,-0.001704100548346024,-0.002184156378600822,-0.0011666666666666665,2.6019609895809417,2.183539094650206,3.20084388185654,1.0,1.0,1.0,0.5212495620423266,0.4376954732510288,0.6405063291139241,0.4889946001024669,0.3910476190476191,0.6154992967651196,0.42867000000000005,0.2765,0.53075,40.0,40.0,40.0,3.075887445685298,2.9625,3.177710843373494,0.5818102189973426,0.46768292682926826,0.7398406374501991,2.494077226687956,2.3793248945147685,2.632716049382716,0.7982273746820713,0.7529415670650731,0.8348902606310014,-3429.36,-4246.0,-2212.0,-0.4286699999999999,-0.5307499999999998,-0.27649999999999997,"[2364.8000000000056, 2678.4000000000024, 2790.3999999999987, 2796.0000000000036, 2260.8000000000006, 2452.8000000000025, 2394.399999999998, 2447.999999999996, 2328.0, 2175.199999999998, 2122.4000000000005, 3316.7999999999965, 2945.5999999999967, 2928.799999999999, 2840.0000000000023, 2138.4000000000005, 2276.8000000000015, 3034.3999999999996, 2788.8000000000056, 2410.3999999999996, 2339.199999999999, 3303.1999999999985, 2991.9999999999955, 2785.600000000003, 3197.6000000000004]","[246, 240, 280, 277, 238, 255, 233, 257, 223, 223, 243, 299, 280, 293, 278, 223, 222, 237, 268, 228, 222, 311, 251, 249, 271]","[591.1999999999997, 591.1999999999997, 591.1999999999997, 591.1999999999997, 669.5999999999999, 669.5999999999999, 669.5999999999999, 669.5999999999999, 697.6, 697.6, 697.6, 697.6, 698.9999999999998, 698.9999999999998, 698.9999999999998, 698.9999999999998, 565.1999999999999, 565.1999999999999, 565.1999999999999, 565.1999999999999, 613.1999999999998, 613.1999999999998, 613.1999999999998, 613.1999999999998, 598.6000000000001, 598.6000000000001, 598.6000000000001, 598.6000000000001, 612.0000000000002, 612.0000000000002, 612.0000000000002, 612.0000000000002, 582.0, 582.0, 582.0, 582.0, 543.8000000000001, 543.8000000000001, 543.8000000000001, 543.8000000000001, 530.6, 530.6, 530.6, 530.6, 829.2000000000003, 829.2000000000003, 829.2000000000003, 829.2000000000003, 736.4000000000002, 736.4000000000002, 736.4000000000002, 736.4000000000002, 732.2, 732.2, 732.2, 732.2, 709.9999999999999, 709.9999999999999, 709.9999999999999, 709.9999999999999, 534.6, 534.6, 534.6, 534.6, 569.1999999999998, 569.1999999999998, 569.1999999999998, 569.1999999999998, 758.6, 758.6, 758.6, 758.6, 697.1999999999997, 697.1999999999997, 697.1999999999997, 697.1999999999997, 602.6, 602.6, 602.6, 602.6, 584.8000000000001, 584.8000000000001, 584.8000000000001, 584.8000000000001, 825.8000000000002, 825.8000000000002, 825.8000000000002, 825.8000000000002, 748.0000000000003, 748.0000000000003, 748.0000000000003, 748.0000000000003, 696.3999999999997, 696.3999999999997, 696.3999999999997, 696.3999999999997, 799.4, 799.4, 799.4, 799.4]",4.738896464843176,3.265658221089619,0.20945722142840434,72.69995334911242,0.0,2.077,492915.199,70.686,14486.572,6.188,25620,102480,1760256,1024,1760256,25164,41,28.211278195488724,90.94736842105263,"[-1.1326218   0.12575531 -1.5588074  ... -0.14389801 -0.4907837
 -1.3308258 ]",-0.810697078704834,87.293212890625,84.24016571044922,93.56558227539062,0.0005
3651.9999999999995,2102.400000000003,2796.5760000000014,252.12,22,3,30744,1024,122976,False,117,6,00101_00000,92969354e32c4142ab00340b2d8efae3,2026-03-21_20-59-58,1774101598,95.13807320594788,516.6068499088287,36950,ASUS-PAVT,172.27.211.168,516.6068499088287,6144,6,14.628371953964233,525.5999999999999,913.0,699.1439999999999,-12.804308345506017,-16.242152466367713,-8.60377358490566,-0.001600538543188252,-0.002030269058295964,-0.0010754716981132074,2.7703192786149065,2.3569506726457394,3.3566176470588234,1.0,1.0,1.0,0.5554224286056444,0.47246636771300454,0.6726470588235294,0.5199431221348523,0.41787313432835826,0.6084803921568627,0.40019,0.285,0.49525,40.0,40.0,40.0,3.2447696631347314,3.107011070110701,3.392452830188679,0.6500964015617279,0.512780269058296,0.8185661764705882,2.5946732615730035,2.389641434262948,2.7808243727598567,0.7873633231826386,0.74,0.8223094170403588,-3201.52,-3962.0,-2280.0,-0.40019,-0.49524999999999997,-0.285,"[2991.9999999999955, 2785.600000000003, 3197.6000000000004, 2445.6000000000035, 2908.8000000000034, 2472.8000000000006, 3137.600000000005, 2531.2000000000003, 2498.4000000000065, 2763.9999999999986, 2620.800000000002, 2801.6000000000004, 3181.5999999999985, 2975.9999999999964, 2774.400000000001, 2757.6000000000104, 2778.399999999998, 2102.400000000003, 2942.4000000000015, 2817.5999999999985, 2421.5999999999995, 2781.600000000003, 2321.5999999999995, 3651.9999999999995, 3251.200000000008]","[251, 249, 271, 226, 260, 218, 266, 264, 231, 270, 268, 245, 261, 270, 240, 279, 262, 223, 254, 264, 231, 242, 221, 272, 265]","[748.0000000000003, 748.0000000000003, 748.0000000000003, 748.0000000000003, 696.3999999999997, 696.3999999999997, 696.3999999999997, 696.3999999999997, 799.4, 799.4, 799.4, 799.4, 611.3999999999997, 611.3999999999997, 611.3999999999997, 611.3999999999997, 727.1999999999998, 727.1999999999998, 727.1999999999998, 727.1999999999998, 618.1999999999999, 618.1999999999999, 618.1999999999999, 618.1999999999999, 784.3999999999997, 784.3999999999997, 784.3999999999997, 784.3999999999997, 632.8, 632.8, 632.8, 632.8, 624.5999999999997, 624.5999999999997, 624.5999999999997, 624.5999999999997, 691.0000000000001, 691.0000000000001, 691.0000000000001, 691.0000000000001, 655.1999999999999, 655.1999999999999, 655.1999999999999, 655.1999999999999, 700.4, 700.4, 700.4, 700.4, 795.4000000000001, 795.4000000000001, 795.4000000000001, 795.4000000000001, 744.0000000000002, 744.0000000000002, 744.0000000000002, 744.0000000000002, 693.5999999999999, 693.5999999999999, 693.5999999999999, 693.5999999999999, 689.3999999999994, 689.3999999999994, 689.3999999999994, 689.3999999999994, 694.6000000000001, 694.6000000000001, 694.6000000000001, 694.6000000000001, 525.5999999999999, 525.5999999999999, 525.5999999999999, 525.5999999999999, 735.5999999999999, 735.5999999999999, 735.5999999999999, 735.5999999999999, 704.4000000000001, 704.4000000000001, 704.4000000000001, 704.4000000000001, 605.4, 605.4, 605.4, 605.4, 695.3999999999997, 695.3999999999997, 695.3999999999997, 695.3999999999997, 580.4000000000001, 580.4000000000001, 580.4000000000001, 580.4000000000001, 913.0, 913.0, 913.0, 913.0, 812.7999999999995, 812.7999999999995, 812.7999999999995, 812.7999999999995]",4.675150120022168,3.2683173790394107,0.20951065590205536,73.09054167881155,0.0,2.068,495045.735,69.592,14714.315,5.896,30744,122976,2197504,1024,2197504,30708,52,27.632824427480916,91.51755725190839,[-1.8145142 -3.2772827 -1.5721817 ...  0.9916611 -7.1140137 -1.6448288],4.0080718994140625,108.0000991821289,104.04930114746094,116.95490264892578,0.0005
3701.6,2151.9999999999973,2926.5280000000002,254.56,22,3,35868,1024,143472,False,139,7,00101_00000,92969354e32c4142ab00340b2d8efae3,2026-03-21_21-01-33,1774101693,95.67100977897644,612.2778596878052,36950,ASUS-PAVT,172.27.211.168,612.2778596878052,7168,7,14.628371953964233,538.0000000000001,925.4,731.632,-12.222923987254212,-18.53731343283582,-7.543859649122807,-0.0015278654984067766,-0.0023171641791044774,-0.0009429824561403506,2.868615382578363,2.598601398601399,3.3566176470588234,1.0,1.0,1.0,0.5747625747542862,0.5201748251748252,0.6726470588235294,0.5304555243784009,0.4718715846994535,0.6084803921568627,0.38258999999999993,0.26875,0.46575,40.0,40.0,40.0,3.429850079793651,3.264705882352941,3.5434782608695654,0.7260565394945471,0.5706467661691542,0.8644194756554308,2.703793540299104,2.4626838235294115,2.8755020080321283,0.7799534318135634,0.74,0.8157048092868989,-3060.72,-3726.0,-2150.0,-0.38258999999999993,-0.46574999999999994,-0.26874999999999993,"[2321.5999999999995, 3651.9999999999995, 3251.200000000008, 2851.1999999999944, 2668.7999999999975, 2972.8000000000025, 2722.400000000001, 2893.6000000000026, 2568.7999999999993, 3701.6, 3165.6000000000026, 2775.2000000000025, 3547.199999999998, 2789.5999999999985, 3339.200000000006, 3312.7999999999975, 2618.399999999999, 2476.7999999999984, 2151.9999999999973, 2826.4000000000065, 2702.3999999999996, 2855.9999999999986, 3063.2000000000025, 2770.4000000000015, 3164.000000000002]","[221, 272, 265, 265, 231, 286, 244, 259, 207, 301, 270, 258, 285, 250, 274, 264, 249, 222, 201, 250, 257, 255, 271, 240, 267]","[580.4000000000001, 580.4000000000001, 580.4000000000001, 580.4000000000001, 913.0, 913.0, 913.0, 913.0, 812.7999999999995, 812.7999999999995, 812.7999999999995, 812.7999999999995, 712.8000000000004, 712.8000000000004, 712.8000000000004, 712.8000000000004, 667.2000000000002, 667.2000000000002, 667.2000000000002, 667.2000000000002, 743.1999999999999, 743.1999999999999, 743.1999999999999, 743.1999999999999, 680.5999999999999, 680.5999999999999, 680.5999999999999, 680.5999999999999, 723.3999999999997, 723.3999999999997, 723.3999999999997, 723.3999999999997, 642.2, 642.2, 642.2, 642.2, 925.4, 925.4, 925.4, 925.4, 791.3999999999999, 791.3999999999999, 791.3999999999999, 791.3999999999999, 693.7999999999998, 693.7999999999998, 693.7999999999998, 693.7999999999998, 886.8000000000002, 886.8000000000002, 886.8000000000002, 886.8000000000002, 697.4000000000001, 697.4000000000001, 697.4000000000001, 697.4000000000001, 834.7999999999996, 834.7999999999996, 834.7999999999996, 834.7999999999996, 828.2000000000002, 828.2000000000002, 828.2000000000002, 828.2000000000002, 654.6000000000001, 654.6000000000001, 654.6000000000001, 654.6000000000001, 619.2000000000002, 619.2000000000002, 619.2000000000002, 619.2000000000002, 538.0000000000001, 538.0000000000001, 538.0000000000001, 538.0000000000001, 706.5999999999997, 706.5999999999997, 706.5999999999997, 706.5999999999997, 675.6000000000001, 675.6000000000001, 675.6000000000001, 675.6000000000001, 714.0, 714.0, 714.0, 714.0, 765.7999999999998, 765.7999999999998, 765.7999999999998, 765.7999999999998, 692.5999999999999, 692.5999999999999, 692.5999999999999, 692.5999999999999, 790.9999999999999, 790.9999999999999, 790.9999999999999, 790.9999999999999]",4.63074028118372,3.265792173925618,0.20960078539734886,73.59698378285638,0.0,2.024,505968.864,70.263,14573.834,5.984,35868,143472,2634752,1024,2634752,35748,62,27.58939393939394,91.51515151515153,"[-0.05593109  1.1521378   1.1206207  ... -7.249817    2.15979
  2.1677856 ]",8.706573486328125,123.23980712890625,117.53018188476562,135.7897491455078,0.0005
